city,county,2010 population,2000 population,percent change,2010 land area in sq mi,2010 land area in sq km,density
Algansee,Branch,"1,974","2,061",?4.2%,35.53,92,55.6/sq mi (21.5/km2)
Algoma,Kent,"9,932","7,596",30.80%,34.13,88.4,291.0/sq mi (112.4/km2)
Algonac,St. Clair,"4,110","4,613",?10.9%,1.43,3.7,"2,874.1/sq mi (1,109.7/km2)"
AlleganCounty seat,Allegan,"4,998","4,838",3.30%,3.85,10,"1,298.2/sq mi (501.2/km2)"
Allegan,Allegan,"4,406","4,050",8.80%,30.4,78.7,144.9/sq mi (56.0/km2)
Allen,Hillsdale,191,225,?15.1%,0.16,0.41,"1,193.8/sq mi (460.9/km2)"
Allen,Hillsdale,"1,657","1,631",1.60%,36.01,93.3,46.0/sq mi (17.8/km2)
Allendale,Ottawa,"20,708","13,042",58.80%,31.13,80.6,665.2/sq mi (256.8/km2)
Allen Park,Wayne,"28,210","29,376",?4.0%,7,18.1,"4,030.0/sq mi (1,556.0/km2)"
Allis,Presque Isle,948,"1,035",?8.4%,64.75,167.7,14.6/sq mi (5.7/km2)
Allouez,Keweenaw,"1,571","1,584",?0.8%,54.62,141.5,28.8/sq mi (11.1/km2)
Alma,Gratiot,"9,383","9,275",1.20%,5.93,15.4,"1,582.3/sq mi (610.9/km2)"
Almena,Van Buren,"4,992","4,226",18.10%,34.41,89.1,145.1/sq mi (56.0/km2)
Almer,Tuscola,"3,101","3,023",2.60%,34.09,88.3,91.0/sq mi (35.1/km2)
Almira,Benzie,"3,645","2,811",29.70%,33.75,87.4,108.0/sq mi (41.7/km2)
Almont,Lapeer,"2,674","2,803",?4.6%,1.42,3.7,"1,883.1/sq mi (727.1/km2)"
Almont,Lapeer,"6,583","6,041",9.00%,36.66,94.9,179.6/sq mi (69.3/km2)
Aloha,Cheboygan,949,"1,041",?8.8%,29.5,76,32.2/sq mi (12.4/km2)
AlpenaCounty seat,Alpena,"10,483","11,304",?7.3%,8.54,22.1,"1,227.5/sq mi (473.9/km2)"
Alpena,Alpena,"9,060","9,788",?7.4%,104.45,270.5,86.7/sq mi (33.5/km2)
Alpha,Iron,145,198,?26.8%,0.94,2.4,154.3/sq mi (59.6/km2)
Alpine,Kent,"13,336","13,976",?4.6%,35.9,93,371.5/sq mi (143.4/km2)
Amber,Mason,"2,535","2,054",23.40%,27.55,71.4,92.0/sq mi (35.5/km2)
Amboy,Hillsdale,"1,173","1,224",?4.2%,29.96,77.6,39.2/sq mi (15.1/km2)
Ann ArborCounty seat,Washtenaw,"113,934","114,024",?0.1%,27.83,72.1,"4,093.9/sq mi (1,580.7/km2)"
Ann Arbor,Washtenaw,"4,361","4,720",?7.6%,16.73,43.3,260.7/sq mi (100.6/km2)
Antioch,Wexford,815,810,0.60%,35.22,91.2,23.1/sq mi (8.9/km2)
Antrim,Shiawassee,"2,161","2,050",5.40%,35.33,91.5,61.2/sq mi (23.6/km2)
Antwerp,Van Buren,"12,182","10,813",12.70%,34.69,89.8,351.2/sq mi (135.6/km2)
Applegate,Sanilac,248,287,?13.6%,1,2.6,248.0/sq mi (95.8/km2)
Arbela,Tuscola,"3,070","3,219",?4.6%,33.46,86.7,91.8/sq mi (35.4/km2)
Arcada,Gratiot,"1,681","1,708",?1.6%,32.17,83.3,52.3/sq mi (20.2/km2)
Arcadia,Lapeer,"3,113","3,197",?2.6%,35.05,90.8,88.8/sq mi (34.3/km2)
Arcadia,Manistee,639,621,2.90%,18.59,48.1,34.4/sq mi (13.3/km2)
Arenac,Arenac,903,992,?9.0%,35.77,92.6,25.2/sq mi (9.7/km2)
Argentine,Genesee,"6,913","6,521",6.00%,34.65,89.7,199.5/sq mi (77.0/km2)
Argyle,Sanilac,759,770,?1.4%,36.31,94,20.9/sq mi (8.1/km2)
Arlington,Van Buren,"2,073","2,075",?0.1%,34.37,89,60.3/sq mi (23.3/km2)
Armada,Macomb,"1,730","1,573",10.00%,0.76,2,"2,276.3/sq mi (878.9/km2)"
Armada,Macomb,"5,379","5,246",2.50%,36.48,94.5,147.5/sq mi (56.9/km2)
Arthur,Clare,647,667,?3.0%,36.02,93.3,18.0/sq mi (6.9/km2)
Arvon,Baraga,450,482,?6.6%,123.96,321.1,3.6/sq mi (1.4/km2)
Ash,Monroe,"7,783","7,610",2.30%,34.6,89.6,224.9/sq mi (86.9/km2)
Ashland,Newaygo,"2,773","2,570",7.90%,34.42,89.1,80.6/sq mi (31.1/km2)
Ashley,Gratiot,563,526,7.00%,0.64,1.7,879.7/sq mi (339.6/km2)
Assyria,Barry,"1,986","1,912",3.90%,35.87,92.9,55.4/sq mi (21.4/km2)
Athens,Calhoun,"1,024","1,111",?7.8%,1.01,2.6,"1,013.9/sq mi (391.5/km2)"
Athens,Calhoun,"2,554","2,571",?0.7%,35.94,93.1,71.1/sq mi (27.4/km2)
Atlas,Genesee,"7,993","7,257",10.10%,35.22,91.2,226.9/sq mi (87.6/km2)
Attica,Lapeer,"4,755","4,678",1.60%,35.09,90.9,135.5/sq mi (52.3/km2)
Auburn,Bay,"2,087","2,011",3.80%,1.05,2.7,"1,987.6/sq mi (767.4/km2)"
Auburn Hills,Oakland,"21,412","19,837",7.90%,16.6,43,"1,289.9/sq mi (498.0/km2)"
Au Gres,Arenac,889,"1,028",?13.5%,2.23,5.8,398.7/sq mi (153.9/km2)
Au Gres,Arenac,953,"1,007",?5.4%,33.35,86.4,28.6/sq mi (11.0/km2)
Augusta,Kalamazoo,885,899,?1.6%,1.01,2.6,876.2/sq mi (338.3/km2)
Augusta,Washtenaw,"6,745","4,813",40.10%,36.7,95.1,183.8/sq mi (71.0/km2)
Aurelius,Ingham,"3,525","3,318",6.20%,36.41,94.3,96.8/sq mi (37.4/km2)
Au Sable,Iosco,"2,047","2,230",?8.2%,20.63,53.4,99.2/sq mi (38.3/km2)
Au Sable,Roscommon,255,281,?9.3%,35.66,92.4,7.2/sq mi (2.8/km2)
Austin,Mecosta,"1,561","1,415",10.30%,35.67,92.4,43.8/sq mi (16.9/km2)
Austin,Sanilac,665,673,?1.2%,36.15,93.6,18.4/sq mi (7.1/km2)
Au Train,Alger,"1,138","1,172",?2.9%,141.27,365.9,8.1/sq mi (3.1/km2)
Avery,Montmorency,646,717,?9.9%,35.02,90.7,18.4/sq mi (7.1/km2)
Backus,Roscommon,330,350,?5.7%,34.36,89,9.6/sq mi (3.7/km2)
Bad AxeCounty seat,Huron,"3,129","3,462",?9.6%,2.26,5.9,"1,384.5/sq mi (534.6/km2)"
Bagley,Otsego,"5,886","5,838",0.80%,28.1,72.8,209.5/sq mi (80.9/km2)
Bainbridge,Berrien,"2,850","3,132",?9.0%,34.9,90.4,81.7/sq mi (31.5/km2)
Baldwin,Delta,759,748,1.50%,83.86,217.2,9.1/sq mi (3.5/km2)
Baldwin,Iosco,"1,694","1,726",?1.9%,28.42,73.6,59.6/sq mi (23.0/km2)
BaldwinCounty seat,Lake,"1,208","1,107",9.10%,1.26,3.3,958.7/sq mi (370.2/km2)
Baltimore,Barry,"1,861","1,845",0.90%,35.42,91.7,52.5/sq mi (20.3/km2)
Bancroft,Shiawassee,545,616,?11.5%,0.58,1.5,939.7/sq mi (362.8/km2)
Bangor,Bay,"14,641","15,547",?5.8%,14.1,36.5,"1,038.4/sq mi (400.9/km2)"
Bangor,Van Buren,"1,885","1,933",?2.5%,1.83,4.7,"1,030.1/sq mi (397.7/km2)"
Bangor,Van Buren,"2,147","2,121",1.20%,33.7,87.3,63.7/sq mi (24.6/km2)
Banks,Antrim,"1,609","1,813",?11.3%,44.94,116.4,35.8/sq mi (13.8/km2)
Baraga,Baraga,"2,053","1,285",59.80%,2.12,5.5,968.4/sq mi (373.9/km2)
Baraga,Baraga,"3,815","3,542",7.70%,183.8,476,20.8/sq mi (8.0/km2)
Bark River,Delta,"1,578","1,650",?4.4%,45.59,118.1,34.6/sq mi (13.4/km2)
Baroda,Berrien,873,858,1.70%,0.72,1.9,"1,212.5/sq mi (468.1/km2)"
Baroda,Berrien,"2,801","2,880",?2.7%,17.77,46,157.6/sq mi (60.9/km2)
Barry,Barry,"3,378","3,489",?3.2%,34.43,89.2,98.1/sq mi (37.9/km2)
Barryton,Mecosta,355,381,?6.8%,0.96,2.5,369.8/sq mi (142.8/km2)
Barton,Newaygo,717,820,?12.6%,35.06,90.8,20.5/sq mi (7.9/km2)
Barton Hills,Washtenaw,294,335,?12.2%,0.75,1.9,392.0/sq mi (151.4/km2)
Batavia,Branch,"1,339","1,546",?13.4%,35.73,92.5,37.5/sq mi (14.5/km2)
Bates,Iron,921,"1,021",?9.8%,125.69,325.5,7.3/sq mi (2.8/km2)
Bath,Clinton,"11,598","7,541",53.80%,31.83,82.4,364.4/sq mi (140.7/km2)
Battle Creek,Calhoun,"52,347","53,364",?1.9%,42.61,110.4,"1,228.5/sq mi (474.3/km2)"
Bay,Charlevoix,"1,122","1,068",5.10%,15.55,40.3,72.2/sq mi (27.9/km2)
Bay CityCounty seat,Bay,"34,932","36,817",?5.1%,10.17,26.3,"3,434.8/sq mi (1,326.2/km2)"
Bay de Noc,Delta,305,329,?7.3%,67.66,175.2,4.5/sq mi (1.7/km2)
Bay Mills,Chippewa,"1,477","1,214",21.70%,64.72,167.6,22.8/sq mi (8.8/km2)
Bear Creek,Emmet,"6,201","5,269",17.70%,39.57,102.5,156.7/sq mi (60.5/km2)
Bearinger,Presque Isle,369,329,12.20%,61.44,159.1,6.0/sq mi (2.3/km2)
Bear Lake,Kalkaska,667,746,?10.6%,71.09,184.1,9.4/sq mi (3.6/km2)
Bear Lake,Manistee,286,318,?10.1%,0.31,0.8,922.6/sq mi (356.2/km2)
Bear Lake,Manistee,"1,751","1,587",10.30%,34.69,89.8,50.5/sq mi (19.5/km2)
Beaugrand,Cheboygan,"1,168","1,157",1.00%,23.83,61.7,49.0/sq mi (18.9/km2)
Beaver,Bay,"2,885","2,806",2.80%,35.34,91.5,81.6/sq mi (31.5/km2)
Beaver,Newaygo,509,608,?16.3%,32.06,83,15.9/sq mi (6.1/km2)
Beaver Creek,Crawford,"1,736","1,486",16.80%,71.46,185.1,24.3/sq mi (9.4/km2)
Beaverton,Gladwin,"1,071","1,106",?3.2%,1.03,2.7,"1,039.8/sq mi (401.5/km2)"
Beaverton,Gladwin,"1,964","1,815",8.20%,35.03,90.7,56.1/sq mi (21.6/km2)
Bedford,Calhoun,"9,357","9,517",?1.7%,29.1,75.4,321.5/sq mi (124.1/km2)
Bedford,Monroe,"31,085","28,606",8.70%,39.19,101.5,793.2/sq mi (306.3/km2)
Belding,Ionia,"5,757","5,877",?2.0%,4.72,12.2,"1,219.7/sq mi (470.9/km2)"
Belknap,Presque Isle,751,854,?12.1%,35.7,92.5,21.0/sq mi (8.1/km2)
BellaireCounty seat,Antrim,"1,086","1,164",?6.7%,1.84,4.8,590.2/sq mi (227.9/km2)
Belleville,Wayne,"3,991","3,997",?0.2%,1.14,3,"3,500.9/sq mi (1,351.7/km2)"
Bellevue,Eaton,"1,282","1,365",?6.1%,1.02,2.6,"1,256.9/sq mi (485.3/km2)"
Bellevue,Eaton,"3,150","3,144",0.20%,36.38,94.2,86.6/sq mi (33.4/km2)
Belvidere,Montcalm,"2,209","2,438",?9.4%,34.62,89.7,63.8/sq mi (24.6/km2)
Bengal,Clinton,"1,188","1,174",1.20%,36.53,94.6,32.5/sq mi (12.6/km2)
Bennington,Shiawassee,"3,168","3,017",5.00%,35.48,91.9,89.3/sq mi (34.5/km2)
Benona,Oceana,"1,437","1,520",?5.5%,40.38,104.6,35.6/sq mi (13.7/km2)
Bentley,Gladwin,844,859,?1.7%,34.7,89.9,24.3/sq mi (9.4/km2)
Benton,Berrien,"14,749","16,404",?10.1%,32.37,83.8,455.6/sq mi (175.9/km2)
Benton,Cheboygan,"3,206","3,080",4.10%,58.66,151.9,54.7/sq mi (21.1/km2)
Benton,Eaton,"2,796","2,712",3.10%,33.54,86.9,83.4/sq mi (32.2/km2)
Benton Harbor,Berrien,"10,038","11,182",?10.2%,4.43,11.5,"2,265.9/sq mi (874.9/km2)"
Benzonia,Benzie,497,519,?4.2%,1.13,2.9,439.8/sq mi (169.8/km2)
Benzonia,Benzie,"2,727","2,839",?3.9%,27.81,72,98.1/sq mi (37.9/km2)
Bergland,Ontonagon,467,550,?15.1%,98.5,255.1,4.7/sq mi (1.8/km2)
Berkley,Oakland,"14,970","15,531",?3.6%,2.61,6.8,"5,735.6/sq mi (2,214.5/km2)"
Berlin,Ionia,"2,116","2,787",?24.1%,41.55,107.6,50.9/sq mi (19.7/km2)
Berlin,Monroe,"9,299","6,924",34.30%,32,82.9,290.6/sq mi (112.2/km2)
Berlin,St. Clair,"3,285","3,162",3.90%,37.12,96.1,88.5/sq mi (34.2/km2)
Berrien,Berrien,"5,084","5,075",0.20%,35.07,90.8,145.0/sq mi (56.0/km2)
Berrien Springs,Berrien,"1,800","1,862",?3.3%,0.94,2.4,"1,914.9/sq mi (739.3/km2)"
Bertrand,Berrien,"2,657","2,380",11.60%,34.44,89.2,77.1/sq mi (29.8/km2)
BessemerCounty seat,Gogebic,"1,905","2,148",?11.3%,5.47,14.2,348.3/sq mi (134.5/km2)
Bessemer,Gogebic,"1,176","1,270",?7.4%,113.73,294.6,10.3/sq mi (4.0/km2)
Bethany,Gratiot,"1,407","3,492",?59.7%,34.57,89.5,40.7/sq mi (15.7/km2)
Bethel,Branch,"1,434","1,421",0.90%,35.83,92.8,40.0/sq mi (15.5/km2)
BeulahCounty seat,Benzie,342,363,?5.8%,0.43,1.1,795.3/sq mi (307.1/km2)
Beverly Hills,Oakland,"10,267","10,437",?1.6%,4,10.4,"2,566.8/sq mi (991.0/km2)"
Big Creek,Oscoda,"2,827","3,380",?16.4%,141.66,366.9,20.0/sq mi (7.7/km2)
Big Prairie,Newaygo,"2,573","2,465",4.40%,31.39,81.3,82.0/sq mi (31.6/km2)
Big RapidsCounty seat,Mecosta,"10,601","10,849",?2.3%,4.36,11.3,"2,431.4/sq mi (938.8/km2)"
Big Rapids,Mecosta,"4,208","3,249",29.50%,30.53,79.1,137.8/sq mi (53.2/km2)
Billings,Gladwin,"2,416","2,715",?11.0%,21.56,55.8,112.1/sq mi (43.3/km2)
Bingham,Clinton,"2,859","2,776",3.00%,32.39,83.9,88.3/sq mi (34.1/km2)
Bingham,Huron,"1,709","1,751",?2.4%,35.76,92.6,47.8/sq mi (18.5/km2)
Bingham,Leelanau,"2,497","2,425",3.00%,23.57,61,105.9/sq mi (40.9/km2)
Bingham Farms,Oakland,"1,111","1,030",7.90%,1.21,3.1,918.2/sq mi (354.5/km2)
Birch Run,Saginaw,"1,555","1,653",?5.9%,1.89,4.9,822.8/sq mi (317.7/km2)
Birch Run,Saginaw,"6,033","6,191",?2.6%,35.51,92,169.9/sq mi (65.6/km2)
Birmingham,Oakland,"20,103","19,291",4.20%,4.79,12.4,"4,196.9/sq mi (1,620.4/km2)"
Bismarck,Presque Isle,386,408,?5.4%,67.51,174.9,5.7/sq mi (2.2/km2)
Blackman,Jackson,"24,051","22,800",5.50%,31.71,82.1,758.5/sq mi (292.8/km2)
Blaine,Benzie,551,491,12.20%,19.43,50.3,28.4/sq mi (10.9/km2)
Blair,Grand Traverse,"8,209","6,448",27.30%,35.61,92.2,230.5/sq mi (89.0/km2)
Blendon,Ottawa,"5,772","5,721",0.90%,36.36,94.2,158.7/sq mi (61.3/km2)
Bliss,Emmet,620,572,8.40%,43.66,113.1,14.2/sq mi (5.5/km2)
Blissfield,Lenawee,"3,340","3,223",3.60%,2.24,5.8,"1,491.1/sq mi (575.7/km2)"
Blissfield,Lenawee,"3,973","3,915",1.50%,20.88,54.1,190.3/sq mi (73.5/km2)
Bloomer,Montcalm,"3,904","3,039",28.50%,34.77,90.1,112.3/sq mi (43.4/km2)
Bloomfield,Huron,455,535,?15.0%,35.74,92.6,12.7/sq mi (4.9/km2)
Bloomfield,Missaukee,531,475,11.80%,35.54,92,14.9/sq mi (5.8/km2)
Bloomfield,Oakland,"41,070","43,023",?4.5%,24.63,63.8,"1,667.5/sq mi (643.8/km2)"
Bloomfield Hills,Oakland,"3,869","3,940",?1.8%,4.96,12.8,780.0/sq mi (301.2/km2)
Bloomingdale,Van Buren,454,528,?14.0%,1.14,3,398.2/sq mi (153.8/km2)
Bloomingdale,Van Buren,"3,103","3,364",?7.8%,33.91,87.8,91.5/sq mi (35.3/km2)
Blue Lake,Kalkaska,387,428,?9.6%,34.96,90.5,11.1/sq mi (4.3/km2)
Blue Lake,Muskegon,"2,399","1,990",20.60%,32.25,83.5,74.4/sq mi (28.7/km2)
Blumfield,Saginaw,"1,960","2,014",?2.7%,35.65,92.3,55.0/sq mi (21.2/km2)
Boardman,Kalkaska,"1,530","1,373",11.40%,36.05,93.4,42.4/sq mi (16.4/km2)
Bohemia,Ontonagon,82,77,6.50%,91.86,237.9,0.9/sq mi (0.3/km2)
Bois Blanc,Mackinac,95,71,33.80%,35.11,90.9,2.7/sq mi (1.0/km2)
Boon,Wexford,687,670,2.50%,36.01,93.3,19.1/sq mi (7.4/km2)
Boston,Ionia,"5,709","4,961",15.10%,35.08,90.9,162.7/sq mi (62.8/km2)
Bourret,Gladwin,461,471,?2.1%,32.34,83.8,14.3/sq mi (5.5/km2)
Bowne,Kent,"3,084","2,743",12.40%,35.53,92,86.8/sq mi (33.5/km2)
Boyne City,Charlevoix,"3,735","3,503",6.60%,4.06,10.5,920.0/sq mi (355.2/km2)
Boyne Falls,Charlevoix,294,370,?20.5%,0.55,1.4,534.5/sq mi (206.4/km2)
Boyne Valley,Charlevoix,"1,195","1,215",?1.6%,34.78,90.1,34.4/sq mi (13.3/km2)
Brady,Kalamazoo,"4,248","4,263",?0.4%,34.83,90.2,122.0/sq mi (47.1/km2)
Brady,Saginaw,"2,218","2,344",?5.4%,36.75,95.2,60.4/sq mi (23.3/km2)
Brampton,Delta,"1,050","1,090",?3.7%,23.74,61.5,44.2/sq mi (17.1/km2)
Branch,Mason,"1,328","1,181",12.40%,35.39,91.7,37.5/sq mi (14.5/km2)
Brandon,Oakland,"15,175","14,765",2.80%,35.11,90.9,432.2/sq mi (166.9/km2)
Brant,Saginaw,"2,012","2,023",?0.5%,36.84,95.4,54.6/sq mi (21.1/km2)
Breckenridge,Gratiot,"1,328","1,339",?0.8%,1.07,2.8,"1,241.1/sq mi (479.2/km2)"
Breedsville,Van Buren,199,235,?15.3%,0.65,1.7,306.2/sq mi (118.2/km2)
Breen,Dickinson,499,479,4.20%,86.69,224.5,5.8/sq mi (2.2/km2)
Breitung,Dickinson,"5,853","5,930",?1.3%,64.27,166.5,91.1/sq mi (35.2/km2)
Brevort,Mackinac,594,649,?8.5%,92.48,239.5,6.4/sq mi (2.5/km2)
Bridgehampton,Sanilac,854,911,?6.3%,36.11,93.5,23.6/sq mi (9.1/km2)
Bridgeport,Saginaw,"10,514","11,709",?10.2%,34.43,89.2,305.4/sq mi (117.9/km2)
Bridgeton,Newaygo,"2,141","2,098",2.00%,35.49,91.9,60.3/sq mi (23.3/km2)
Bridgewater,Washtenaw,"1,674","1,646",1.70%,36.16,93.7,46.3/sq mi (17.9/km2)
Bridgman,Berrien,"2,291","2,428",?5.6%,2.9,7.5,790.0/sq mi (305.0/km2)
Brighton,Livingston,"7,444","6,701",11.10%,3.56,9.2,"2,091.0/sq mi (807.3/km2)"
Brighton,Livingston,"17,791","17,673",0.70%,32.96,85.4,539.8/sq mi (208.4/km2)
BrileyCounty seat,Montmorency,"1,860","2,029",?8.3%,68.36,177.1,27.2/sq mi (10.5/km2)
Britton,Lenawee,586,699,?16.2%,0.79,2,741.8/sq mi (286.4/km2)
Brockway,St. Clair,"2,022","1,900",6.40%,33.66,87.2,60.1/sq mi (23.2/km2)
Bronson,Branch,"2,349","2,421",?3.0%,1.37,3.5,"1,714.6/sq mi (662.0/km2)"
Bronson,Branch,"1,349","1,358",?0.7%,34.62,89.7,39.0/sq mi (15.0/km2)
Brookfield,Eaton,"1,537","1,429",7.60%,36.07,93.4,42.6/sq mi (16.5/km2)
Brookfield,Huron,760,914,?16.8%,35.49,91.9,21.4/sq mi (8.3/km2)
Brooklyn,Jackson,"1,206","1,176",2.60%,1.01,2.6,"1,194.1/sq mi (461.0/km2)"
Brooks,Newaygo,"3,510","3,671",?4.4%,31.57,81.8,111.2/sq mi (42.9/km2)
Broomfield,Isabella,"1,849","1,620",14.10%,34.92,90.4,52.9/sq mi (20.4/km2)
Brown,Manistee,747,712,4.90%,35.64,92.3,21.0/sq mi (8.1/km2)
Brown City,"Sanilac, Lapeer","1,325","1,334",?0.7%,1.09,2.8,"1,215.6/sq mi (469.3/km2)"
Brownstown,Wayne,"30,627","22,989",33.20%,22.19,57.5,"1,380.2/sq mi (532.9/km2)"
Bruce,Chippewa,"2,128","1,940",9.70%,86.98,225.3,24.5/sq mi (9.4/km2)
Bruce,Macomb,"8,700","8,158",6.60%,36.75,95.2,236.7/sq mi (91.4/km2)
Buchanan,Berrien,"4,456","4,681",?4.8%,2.5,6.5,"1,782.4/sq mi (688.2/km2)"
Buchanan,Berrien,"3,523","3,510",0.40%,32.14,83.2,109.6/sq mi (42.3/km2)
Buckeye,Gladwin,"1,308","1,333",?1.9%,34.17,88.5,38.3/sq mi (14.8/km2)
Buckley,Wexford,697,550,26.70%,1.78,4.6,391.6/sq mi (151.2/km2)
Buel,Sanilac,"1,265","1,237",2.30%,37.64,97.5,33.6/sq mi (13.0/km2)
Buena Vista,Saginaw,"8,676","10,318",?15.9%,35.48,91.9,244.5/sq mi (94.4/km2)
Bunker Hill,Ingham,"2,119","1,979",7.10%,32.88,85.2,64.4/sq mi (24.9/km2)
Burdell,Osceola,"1,331","1,241",7.30%,37.33,96.7,35.7/sq mi (13.8/km2)
Burleigh,Iosco,787,775,1.50%,34.64,89.7,22.7/sq mi (8.8/km2)
Burlington,Calhoun,261,405,?35.6%,0.65,1.7,401.5/sq mi (155.0/km2)
Burlington,Calhoun,"1,941","1,929",0.60%,35.7,92.5,54.4/sq mi (21.0/km2)
Burlington,Lapeer,"1,478","1,402",5.40%,34.99,90.6,42.2/sq mi (16.3/km2)
Burns,Shiawassee,"3,457","3,500",?1.2%,35.3,91.4,97.9/sq mi (37.8/km2)
Burnside,Lapeer,"1,864","1,920",?2.9%,53.37,138.2,34.9/sq mi (13.5/km2)
Burr Oak,St. Joseph,828,797,3.90%,1,2.6,828.0/sq mi (319.7/km2)
Burr Oak,St. Joseph,"2,611","2,739",?4.7%,35.25,91.3,74.1/sq mi (28.6/km2)
Burt,Alger,522,480,8.70%,230.48,596.9,2.3/sq mi (0.9/km2)
Burt,Cheboygan,680,654,4.00%,19.73,51.1,34.5/sq mi (13.3/km2)
Burtchville,St. Clair,"4,008","3,956",1.30%,15.55,40.3,257.7/sq mi (99.5/km2)
Burton,Genesee,"29,999","30,308",?1.0%,23.36,60.5,"1,284.2/sq mi (495.8/km2)"
Bushnell,Montcalm,"1,604","2,111",?24.0%,35.59,92.2,45.1/sq mi (17.4/km2)
Butler,Branch,"1,467","1,362",7.70%,35.63,92.3,41.2/sq mi (15.9/km2)
Butman,Gladwin,"1,999","1,947",2.70%,34,88.1,58.8/sq mi (22.7/km2)
Butterfield,Missaukee,489,548,?10.8%,35.4,91.7,13.8/sq mi (5.3/km2)
Byron,Kent,"20,317","17,553",15.70%,36.1,93,562.8/sq mi (217.3/km2)
Byron,Shiawassee,581,595,?2.4%,0.7,1.8,830.0/sq mi (320.5/km2)
CadillacCounty seat,Wexford,"10,355","10,000",3.60%,7.16,18.5,"1,446.2/sq mi (558.4/km2)"
Caldwell,Missaukee,"1,317","1,363",?3.4%,34.21,88.6,38.5/sq mi (14.9/km2)
Caledonia,Alcona,"1,161","1,203",?3.5%,67.58,175,17.2/sq mi (6.6/km2)
Caledonia,Kent,"1,511","1,102",37.10%,1.33,3.4,"1,136.1/sq mi (438.6/km2)"
Caledonia,Kent,"12,332","8,964",37.60%,34.91,90.4,353.3/sq mi (136.4/km2)
Caledonia,Shiawassee,"4,475","4,427",1.10%,31.12,80.6,143.8/sq mi (55.5/km2)
California,Branch,"1,040",909,14.40%,21.26,55.1,48.9/sq mi (18.9/km2)
Calumet,Houghton,726,879,?17.4%,0.2,0.52,"3,630.0/sq mi (1,401.6/km2)"
Calumet,Houghton,"6,489","6,997",?7.3%,33.16,85.9,195.7/sq mi (75.6/km2)
Calvin,Cass,"2,037","2,041",?0.2%,34.34,88.9,59.3/sq mi (22.9/km2)
Cambria,Hillsdale,"2,533","2,546",?0.5%,34.81,90.2,72.8/sq mi (28.1/km2)
Cambridge,Lenawee,"5,733","5,299",8.20%,31.85,82.5,180.0/sq mi (69.5/km2)
Camden,Hillsdale,512,550,?6.9%,0.84,2.2,609.5/sq mi (235.3/km2)
Camden,Hillsdale,"2,047","2,088",?2.0%,42.36,109.7,48.3/sq mi (18.7/km2)
Campbell,Ionia,"2,388","2,243",6.50%,35.73,92.5,66.8/sq mi (25.8/km2)
Cannon,Kent,"13,336","12,075",10.40%,35.26,91.3,378.2/sq mi (146.0/km2)
Canton,Wayne,"90,173","76,366",18.10%,36.11,93.5,"2,497.2/sq mi (964.2/km2)"
Capac,St. Clair,"1,890","1,775",6.50%,1.83,4.7,"1,032.8/sq mi (398.8/km2)"
Carleton,Monroe,"2,345","2,562",?8.5%,0.99,2.6,"2,368.7/sq mi (914.6/km2)"
