year,lake,Average of CAL_Num/m3,Average of CALIM_Num/m3,Average of CYC_Num/m3,Average of CYCIM_Num/m3,Average of DAP_Num/m3,Average of NDAP_Num/m3,Average of PRED_Num/m3
2004,ER,1421.380304,2949.869443,1057.000328,3681.062685,1836.973993,9288.253402,74.41709072
2004,HU,906.1266167,1185.654509,186.8841779,443.5976372,57.47058901,184.3757732,1.563960084
2004,MI,1193.556185,1324.641871,279.7282296,300.8004401,577.9495869,91.88094798,2.756382177
2004,ON,93.94168653,63.73280028,734.7782695,1329.504783,2850.596171,689.8322432,45.6966293
2004,SU,510.5201163,792.9936236,143.9330594,380.3138049,24.24088385,24.59156657,0.028213415
2005,ER,1259.211901,1988.886255,1240.580288,2976.253926,699.1899908,8099.090136,53.98792356
2005,HU,662.3668754,1110.695197,52.7253644,79.09781102,17.60492731,34.93351577,0.822289243
2005,MI,1033.738993,1087.775359,35.56583916,121.4482967,149.0265641,2.257468731,2.054957693
2005,ON,207.2692198,132.5677566,435.978738,558.1632944,1546.955348,597.4445492,18.27313626
2005,SU,400.0965644,519.435639,150.7758949,330.8032438,91.52963082,47.02149584,1.414784529
2006,ER,1526.911797,3362.506177,2157.4142,2313.453406,4831.953334,5206.221127,98.14020393
2006,HU,725.0857773,1891.406681,59.05534325,94.70940489,90.11897924,131.2969289,1.308509129
2006,MI,864.0429991,2128.69331,106.130267,269.5153301,73.08111527,15.30527447,3.563897598
2006,ON,157.0840433,142.3247977,875.8303353,2616.342342,1045.900213,894.472861,91.07868826
2006,SU,396.5136289,919.2714001,209.4428942,301.4191041,39.00642199,133.1788363,1.374249649
2007,ER,914.8132717,941.605463,1347.417846,2677.138963,532.5741596,1036.549802,64.53079721
2007,HU,829.8947829,1561.476316,147.6547492,345.8063633,57.31923413,66.06564472,1.194453643
2007,MI,1173.083765,3907.132015,13.5176005,5.705120394,284.3958924,20.79905025,1.420223872
2007,ON,223.8053097,96.45815288,699.6166437,1149.290515,252.5226088,1156.308134,116.2128388
2007,SU,524.5302217,1125.922155,272.3762142,445.7863335,37.48735092,78.09106003,0.348881052
2008,ER,1820.24566,1479.018462,1918.926671,2616.814527,2690.056892,2100.051019,49.10983932
2008,HU,715.4578321,1148.682291,105.8692417,123.8744335,27.6534832,109.0827036,1.064623039
2008,MI,1000.339479,1752.638555,8.816564222,7.669893863,204.1373305,8.22434298,4.072899474
2008,ON,429.925627,493.7486528,399.4979009,1001.654703,95.14236064,1091.888188,52.1500074
2008,SU,628.7313648,1123.247546,276.4703884,633.2923131,41.79648511,158.3062838,0.091365315
2009,ER,1521.398099,5723.848416,1983.632223,3391.146769,1509.114631,6626.028504,100.5004301
2009,HU,709.4098294,888.4954766,147.5808289,209.494874,18.09048033,110.4670161,1.148966609
2009,MI,1123.351453,1243.810182,48.64086195,27.28931145,53.87258247,3.421353672,0.947671963
2009,ON,608.821716,838.0070383,317.8617121,653.6210407,643.2882543,656.9680773,50.16602898
2009,SU,521.2108226,854.5352769,182.6506908,468.7547457,19.04077321,54.51812509,0.091134449
2010,ER,3385.871653,7086.823741,2745.870684,8228.579507,2984.004499,11127.82002,131.0859823
2010,HU,932.0792103,1654.80665,219.5937867,181.5394625,257.7167537,225.0052798,1.821254067
2010,MI,1428.72203,2593.011594,134.4583097,420.4134865,444.3451113,6.051643274,1.845728155
2010,ON,585.298344,631.4032863,505.2688728,849.4309796,2526.233855,407.0888662,43.02190596
2010,SU,417.1961917,1349.102237,344.3128068,334.4265256,100.455794,152.9030423,1.037157905
2011,ER,2795.85461,3775.01428,2278.269768,5632.574301,4266.093443,10376.86123,59.90778604
2011,HU,1042.517086,1214.928862,174.0446139,488.4840538,19.80980896,161.9741173,2.148131905
2011,MI,1619.033695,2170.734971,602.3368028,1391.772414,200.0899409,190.7660611,9.72151479
2011,ON,417.7557077,490.1350272,555.4465128,2531.788915,1036.977327,561.182687,50.417479
2011,SU,702.0085848,1116.976226,261.7903934,494.1192036,83.61602674,86.32250692,0.20376531
2012,ER,2553.144225,4571.550717,1916.271351,3829.033652,962.3966579,3368.342292,61.95925754
2012,HU,1037.221363,1707.62281,215.0976627,310.8680294,430.0887288,410.59231,1.003631458
2012,MI,1273.895534,1638.872561,143.6370719,366.4553457,484.9061267,21.53364205,2.860217774
2012,ON,337.1142575,536.8583934,856.0108553,817.7853085,1224.057736,1379.821953,29.26324277
2012,SU,355.9761839,877.2558591,298.2212227,325.2131153,73.86240122,112.735662,2.076813955
2013,ER,1629.87199,1691.372243,1507.440869,2805.205608,4195.39217,4467.14806,26.13052778
2013,HU,1354.882799,1977.272567,163.0252338,1142.906499,18.16085255,88.48061557,1.423279515
2013,MI,1571.993644,2578.554594,530.4132349,1681.196286,166.2473952,132.1670044,6.714813555
2013,ON,159.5182616,267.8252855,907.3503851,2030.637549,784.4081961,1149.653108,52.23411149
2013,SU,506.2286732,828.0487467,274.3566897,576.3644739,12.26558681,17.4650803,0.022625136
2014,ER,2072.329935,1051.122277,1630.14447,2328.440627,2408.128266,5328.596568,50.91485961
2014,HU,708.5302871,1238.897792,46.80703131,174.4076454,18.53026734,58.16290318,1.132359155
2014,MI,596.1309028,820.916987,183.9308427,263.9925359,3.419700511,104.8700691,12.78119757
2014,ON,169.7593377,184.3694476,881.1986287,840.60231,384.297398,1239.415705,49.15879217
2014,SU,513.0974089,384.8867645,70.02911844,145.3012112,8.316440785,12.86022874,0.070914699
2015,ER,1278.290696,1715.14915,1318.629709,3299.669777,1599.317795,2278.745303,45.9566335
2015,HU,933.9397978,1764.055717,63.02588713,178.5766254,1.901213834,47.35675189,1.246706817
2015,MI,845.405527,960.2635925,89.45749458,104.1510181,8.993842436,29.79213797,1.077919604
2015,ON,282.0371371,311.2855778,244.6382103,294.8901599,789.655294,831.4884306,77.11652075
2015,SU,466.1287364,665.820952,144.8317441,211.174913,33.34358778,4.191376677,0.002808485
2016,ER,1946.111938,2141.402355,1196.503064,3159.82994,1368.016244,741.6805565,187.8802566
2016,HU,1149.338716,1819.293903,109.7899419,257.6970983,10.75953271,109.3512162,1.372422415
2016,MI,1330.669768,1793.059373,64.71855165,250.4025716,91.83435879,0.93171425,2.553413743
2016,ON,407.8711844,979.2166247,429.2612455,1124.55025,874.6262346,290.7699842,6.54059339
2016,SU,554.0446871,1561.172415,265.4983607,255.2785941,137.4148073,80.89808907,0.666704334
2017,ER,2197.81712,2185.680191,1573.997323,3107.134973,1313.213087,761.0961087,27.96244173
2017,HU,1007.148567,1722.732652,68.95374819,483.5863244,32.09227968,68.43413586,1.045653531
2017,MI,1201.39981,1860.165267,246.5902055,391.9795924,376.1605712,186.2875614,3.480007739
2017,ON,136.3759962,236.6097831,611.0887087,1777.181671,524.3292403,307.0545356,53.17608107
2017,SU,381.3291374,973.1433753,216.8862115,298.5947121,42.24288787,91.42278772,0.178800725
2018,ER,2318.837826,2469.754798,2053.80588,5286.5247,2096.580154,4973.61882,88.8662104
2018,HU,775.8276034,1166.06174,67.28653426,334.2381846,17.2350109,42.5252658,1.525654302
2018,MI,998.9365034,1427.386371,383.9548803,592.3065706,41.39151718,172.0402556,7.272486965
2018,ON,255.2199693,291.8796128,987.8934795,1983.742404,531.7667135,385.1852648,154.787659
2018,SU,584.9274932,751.0764054,178.7777215,271.9255197,33.81925397,51.11119534,0.223908864
2019,ER,2451.749377,3161.735082,2530.455563,3857.070391,2260.997103,2205.742605,45.00339297
2019,HU,654.4083654,1133.542952,84.50250565,409.625591,6.116847225,38.09291309,0.967571049
2019,MI,790.8833009,1410.258417,597.9916084,1807.909542,44.70273213,173.3925474,14.46570823
2019,ON,311.0816782,431.6137795,266.3863688,458.6433703,668.7043161,369.2114687,101.6844287
2019,SU,488.3638278,883.8071596,200.0859201,234.0013763,21.50837565,28.03693121,0.189069136
